I love	 	 	I like	 	 	I don't like	 	 	I hate	 	 	
ID	artist	name	ID	artist	name	ID	artist	name	ID	artist	name	
129537158	Noisia	Into Dust	546232902	Sophie Hunger	I Opened A Bar	366003431	Ravi Shankar	Spring	 	 	 	
129537140	Noisia	Tentacles	546232912	Sophie Hunger	Oh Lord	73467980	Maalim Abdi	Natamani uwa [ua]	 	 	 	
129537152	Noisia	Motion Blur	546232922	Sophie Hunger	The Actress	201066	Carmen Miranda	Alô, Alô	 	 	 	
472096342	Camo & Krooked	Slow Down (feat. ROBB) (Fred V & Grafix Remix)	546232932	Sophie Hunger	Electropolis	 	 	 	 	 	 	
472096442	Camo & Krooked	Passion (Dan Dakota Remix)	546232942	Sophie Hunger	That Man	 	 	 	 	 	 	
472096462	Camo & Krooked	Black or White (feat. Tasha Baxter) (Signal Remix)	546232952	Sophie Hunger	Coucou	 	 	 	 	 	 	
472096322	Camo & Krooked	Broken Pieces (feat. Nihils) (Culture Shock Remix)	122213324	Doc Gynéco	Viens voir le docteur (Dirty Moog Mix)	 	 	 	 	 	 	
472096382	Camo & Krooked	Heat of the Moment (Bensley Remix)	122213326	Doc Gynéco	Dans ma rue (High for the Chronic !)	 	 	 	 	 	 	
472096562	Camo & Krooked	Black or White (feat. Tasha Baxter) (Kimyan Law Remix)	122213328	Doc Gynéco	Nirvana	 	 	 	 	 	 	
472096502	Camo & Krooked	Broken Pieces (feat. Nihils) (Urbandawn Remix)	122213330	Doc Gynéco	Passement de jambes	 	 	 	 	 	 	
70662174	Camo & Krooked	Loving You Is Easy	122213332	Doc Gynéco	Né ici	 	 	 	 	 	 	
69670661	Dick Dale	"Misirlou (From ""Pulp Fiction"")"	122213334	Doc Gynéco	Vanessa	 	 	 	 	 	 	
3754400	Agoria	Europa	122213336	Doc Gynéco	Classez-moi dans la varièt	 	 	 	 	 	 	
13378280	Wu-Tang Clan	Gravel Pit	122213338	Doc Gynéco	Les Filles du moove	 	 	 	 	 	 	
399887822	Worakls	Sanctis	122213340	Doc Gynéco	Si tu crois que je peze	 	 	 	 	 	 	
486399342	Moderat	A New Error	122213342	Doc Gynéco	No se vende la calle (L.A. Razza Mix)	 	 	 	 	 	 	
107214096	Nero	Satisfy	122213344	Doc Gynéco	Celui qui vient chez toi (quand tu n'es pas là)	 	 	 	 	 	 	
76985342	Goldie	Vanilla	122213346	Doc Gynéco	Est-ce que ça le fait ?	 	 	 	 	 	 	
115068454	Ikuta Ryu	Kojo No Tsuki	122213348	Doc Gynéco	Tel père tel fils (Papa Was a Rollin' Stone) (Version absolue)	 	 	 	 	 	 	
 	 	 	122213350	Doc Gynéco	Première consultation	 	 	 	 	 	 	
 	 	 	122213352	Doc Gynéco	Interlude promo 1996	 	 	 	 	 	 	
 	 	 	122213354	Doc Gynéco	Viens voir le docteur (Version alternative	 Nouveau mix 2016)	 	 	 	 	 	 
 	 	 	122213356	Doc Gynéco	Le Mec en vogue	 	 	 	 	 	 	
 	 	 	122213358	Doc Gynéco	Interlude Les Filles que j'aime	 	 	 	 	 	 	
 	 	 	122213360	Doc Gynéco	Né rue Case Nègres (feat. MC Janik)	 	 	 	 	 	 	
 	 	 	122213362	Doc Gynéco	Interlude Dans ma rue (Interview)	 	 	 	 	 	 	
 	 	 	122213364	Doc Gynéco	In My Street (White M Mix	 feat. JM Sissoko)	 	 	 	 	 	 
 	 	 	122213366	Doc Gynéco	Histoire d'un mec	 	 	 	 	 	 	
 	 	 	122213368	Doc Gynéco	Intro Interview baskets blanches	 	 	 	 	 	 	
 	 	 	122213370	Doc Gynéco	Nirvana (Version alternative)	 	 	 	 	 	 	
 	 	 	122213372	Doc Gynéco	Interlude Charles Aznavour tous les matins	 	 	 	 	 	 	
 	 	 	122213374	Doc Gynéco	La Bohème (feat. Assia)	 	 	 	 	 	 	
 	 	 	122213376	Doc Gynéco	Interlude J'blague avec la balle	 	 	 	 	 	 	
 	 	 	122213378	Doc Gynéco	Passement de jambes (Version alternative)	 	 	 	 	 	 	
 	 	 	122213380	Doc Gynéco	Ma salope à moi	 	 	 	 	 	 	
 	 	 	122213382	Doc Gynéco	Interlude Ami ou ennemi	 	 	 	 	 	 	
 	 	 	122213384	Doc Gynéco	Arrête de mentir (feat. Arsenik)	 	 	 	 	 	 	
 	 	 	122213386	Doc Gynéco	Nirvana piano-voix	 	 	 	 	 	 	
 	 	 	122213388	Doc Gynéco	Classez moi dans la varièt (Remix DJ Erise & Doctness)	 	 	 	 	 	 	
 	 	 	122213390	Doc Gynéco	Outro	 	 	 	 	 	 	
 	 	 	937571	Thom Yorke	The Eraser	 	 	 	 	 	 	
 	 	 	937573	Thom Yorke	Analyse	 	 	 	 	 	 	
 	 	 	937577	Thom Yorke	The Clock	 	 	 	 	 	 	
 	 	 	937579	Thom Yorke	Black Swan	 	 	 	 	 	 	
 	 	 	937582	Thom Yorke	Skip Divided	 	 	 	 	 	 	
 	 	 	937584	Thom Yorke	Atoms For Peace	 	 	 	 	 	 	
 	 	 	937588	Thom Yorke	And It Rained All Night	 	 	 	 	 	 	
 	 	 	937590	Thom Yorke	Harrowdown Hill	 	 	 	 	 	 	
 	 	 	937593	Thom Yorke	Cymbal Rush	 	 	 	 	 	 	
 	 	 	3780534	Laurent Garnier	Crispy Bacon	 	 	 	 	 	 	
 	 	 	55434611	Les Double Six	Meet Benny Bailey (Au Bout Du Fil)	 	 	 	 	 	 	
 	 	 	67035154	London Symphony Orchestra	Symphonie Fantastique, Op. 14 - Fifth Movement: Songe D'Une Nuit De Sabbat	 	 	 	 	 	 	
 	 	 	3130696	Lords of the Underground	Here Come The Lords (Explicit)	 	 	 	 	 	 	
 	 	 	67121873	Björk	Crystalline (Matthew Herbert Remix)	 	 	 	 	 	 	
 	 	 	65341068	Krystian Zimerman	La Lugubre Gondola, S.200 no.2	 	 	 	 	 	 	
 	 	 	2271252	Manolo Sanlucar	El Poeta Pide A Su Amor Que Le Escriba(Canción-Bulería) (Album Version)	 	 	 	 	 	 	
 	 	 	64213891	Manu Le Malin	On the Way Home	 	 	 	 	 	 	
 	 	 	78302846	Goto80	Boys Say Go	 	 	 	 	 	 	
 	 	 	63661146	Tatiana Samouil	Quatuor pour deux violons, alto et violoncelle en ré majeur (CFF 124): Poco lento - Allegro	 	 	 	 	 	 	
 	 	 	445346202	Théo Ceccaldi	Amanda Dakota	 	 	 	 	 	 	
 	 	 	2439463	The Carla Bley Band	Musique Mecanique I	 	 	 	 	 	 	
 	 	 	10236728	Austin Peralta	Capricornus	 	 	 	 	 	 	
 	 	 	79088196	Hawk House	My Mind Is The Weapon (Topic 1)	 	 	 	 	 	 	
 	 	 	83947151	Totó La Momposina	Chí Chí Maní	 	 	 	 	 	 	
 	 	 	1739106	James Chance & The Contortions	Contort Yourself	 	 	 	 	 	 	
 	 	 	351958571	Sélébéyone	Are You in Peace	 	 	 	 	 	 	
 	 	 	80674522	Boban Markovic	Izvorski biseri	 	 	 	 	 	 	
 	 	 	1735890	Skip James	Devil Got My Woman	 	 	 	 	 	 	
 	 	 	12156755	Steve Lehman	Digital Ambush	 	 	 	 	 	 	
